KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,
Nelspruit,-1.04,-0.94,-1.3,-1.2,-1.19,-3.31,-4.55,-3.37,-1.47,-0.37,-0.34,0.08,-2.86,0.02,-1.12,0.14,-0.37,,,,,,,,,,,,,,,,,,,
Durban,-0.18,-0.52,-1.46,-0.54,-0.53,-2.21,-4.4,-2.31,-0.12,0.41,0.4,0.19,-1.01,0.2,-1.22,0.25,-0.19,,,,,,,,,,,,,,,,,,,
Mthatha,-0.06,0.73,-0.57,1.12,1.14,-0.12,-3.18,-0.87,0.55,1.63,1.39,1.89,0.36,1.92,0.21,2.04,1.67,,,,,,,,,,,,,,,,,,,
George,-1.08,-1.71,-1.96,-1.5,-1.48,-3.68,-4.39,-3.74,-1.31,-0.36,-0.35,-0.28,-2.17,-0.32,-1.65,-0.2,-0.66,,,,,,,,,,,,,,,,,,,
Stellenboch,-0.94,-0.92,-1.26,-0.41,-0.39,-2.39,-3.36,-2.56,-0.15,0.69,0.65,0.66,-0.74,0.64,-0.78,0.71,0.3,,,,,,,,,,,,,,,,,,,
Cape Point,1.71,3.6,3.39,3.33,3.34,1.04,0.22,0.93,3.52,4.5,4.42,4.93,3.67,4.88,3.72,4.97,4.41,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.02,0.03,0.03,0.03,0.02,0.05,0.06,0.05,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,
Upington,0.03,0.02,0.02,0.02,0.02,0.04,0.05,0.04,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,
De Aar,0.05,0.05,0.03,0.03,0.03,0.04,0.06,0.05,0.04,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,
Bethlehem,0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.03,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Mahikeng,0.03,0.03,0.02,0.02,0.02,0.04,0.05,0.04,0.03,0.02,0.02,0.01,0.04,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Irene,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.05,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,
Pretoria,0.03,0.04,0.03,0.02,0.02,0.04,0.05,0.04,0.03,0.02,0.02,0.01,0.04,0.01,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,
Thohoyandou,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Nelspruit,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.04,0.02,0.02,0.02,0.01,0.04,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Durban,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Mthatha,0.04,0.03,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,
George,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Stellenboch,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,
Cape Point,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.027,0.03,0.026,0.024,0.024,0.038,0.047,0.039,0.03,0.021,0.024,0.018,0.035,0.018,0.024,0.017,0.018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site ,,National-Climate,,Climate-Site ,,,,,,,,,,,,,
Alexandra Bay,1.84,3.17,3.44,2.61,2.59,4.65,5.59,4.97,3.24,2.02,2.1,1.63,3.27,1.66,2.75,1.47,1.56,,3,,3,,0,,,,,,,,,,,,,
Upington,3.2,2.22,2.51,2.58,2.56,4.4,5.14,4.6,3.19,2.25,2.32,1.53,3.67,1.56,2.17,1.47,1.71,,9,,5,,4,,,,,,,,,,,,,
De Aar,5.15,5.15,3.08,2.78,2.76,4.5,5.67,4.89,3.65,2.53,2.66,1.98,4.09,1.97,2.51,1.84,1.79,,4,,4,,0,,,,,,,,,,,,,
Bethlehem,2.57,4.37,2.13,2.18,2.17,4.03,4.58,4.06,2.93,1.78,1.8,1.26,3.11,1.3,1.9,1.2,1.34,,-1,,-2,,0,,,,,,,,,,,,,
Mahikeng,2.66,2.62,2.08,2.16,2.14,3.92,4.69,4.1,3.29,2.17,2.19,1.4,4.11,1.44,1.75,1.29,1.21,,4,,0,,3,,,,,,,,,,,,,
Irene,4.49,4.58,3.99,3.56,3.56,4.22,5.22,4.34,3.91,3.5,3.7,3.31,4.88,3.32,3.58,3.29,3.22,,0,,0,,0,,,,,,,,,,,,,
Pretoria,2.87,3.71,2.84,2.26,2.24,3.87,5.11,4.12,2.62,1.82,1.91,1.44,3.78,1.43,2.29,1.33,1.52,,0,,0,,0,,,,,,,,,,,,,
Thohoyandou,1.6,1.89,1.93,1.55,1.54,3.13,3.68,3.09,1.79,1.29,1.28,0.98,2.58,0.99,1.73,0.88,1.11,,0,,0,,1,,,,,,,,,,,,,
Nelspruit,1.63,1.53,1.81,1.77,1.76,3.76,4.73,3.76,2.53,1.5,1.49,0.86,3.5,0.91,1.62,0.76,0.94,,0,,0,,0,,,,,,,,,,,,,
Durban,1.38,1.59,2.22,1.69,1.68,3.08,4.77,3.06,1.71,1.33,1.35,1.16,2.13,1.17,1.98,1.08,1.29,,-2,,-1,,-1,,,,,,,,,,,,,
Mthatha,3.62,3.35,3.91,3.39,3.38,3.8,5.11,4.09,4.09,3.48,3.61,3.11,4.14,3.06,3.28,3.03,2.94,,0,,-3,,2,,,,,,,,,,,,,
George,1.53,2.05,2.27,1.91,1.9,3.96,4.51,3.98,2.1,1.23,1.22,0.93,2.62,0.96,1.98,0.82,1.11,,0,,0,,0,,,,,,,,,,,,,
Stellenboch,2.11,2.09,2.32,1.72,1.71,3.2,3.84,3.29,2.55,1.89,1.93,1.44,2.31,1.45,1.82,1.31,1.07,,2,,0,,2,,,,,,,,,,,,,
Cape Point,3.59,3.91,3.85,3.92,3.92,2.89,3.37,3.35,5.03,5.01,5.03,4.95,4.51,4.91,3.89,4.98,4.42,,0,,0,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.73,3.02,2.74,2.43,2.42,3.82,4.72,3.98,3.05,2.27,2.33,1.86,3.48,1.87,2.38,1.77,1.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.04,0.05,0.05,0.04,0.04,0.05,0.07,0.06,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,
Upington,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.05,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,
De Aar,0.07,0.07,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.05,0.05,0.04,0.07,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,
Bethlehem,0.05,0.06,0.04,0.04,0.04,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,
Mahikeng,0.05,0.05,0.04,0.05,0.04,0.06,0.07,0.06,0.05,0.04,0.05,0.04,0.08,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,
Irene,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.08,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,
Pretoria,0.04,0.06,0.04,0.04,0.04,0.05,0.07,0.05,0.04,0.03,0.04,0.03,0.07,0.03,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,
Thohoyandou,0.03,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.06,0.02,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,
Nelspruit,0.03,0.03,0.03,0.03,0.03,0.05,0.51,0.05,0.04,0.03,0.03,0.02,0.07,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,
Durban,0.04,0.04,0.04,0.04,0.04,0.04,0.74,0.05,0.04,0.04,0.04,0.03,0.05,0.03,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,
Mthatha,0.07,0.06,0.07,0.06,0.06,0.06,0.1,0.07,0.07,0.06,0.07,0.06,0.08,0.06,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,
George,0.03,0.03,0.04,0.03,0.03,0.05,0.06,0.05,0.04,0.03,0.03,0.02,0.05,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,
Stellenboch,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,
Cape Point,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.049,0.051,0.046,0.044,0.043,0.053,0.146,0.056,0.05,0.043,0.045,0.039,0.064,0.039,0.042,0.039,0.039,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,,,,,,,,,,,,
Alexandra Bay,3.62,4.92,5.02,4.23,4.21,5.53,6.83,6.14,5.15,3.91,4.24,3.51,5.29,3.55,4.14,3.4,3.47,,2,,2,,0,,,,,,,,,,,,,
Upington,5.11,3.82,4,4.11,4.09,5.3,6.42,5.8,4.82,4.01,4.12,3.67,6.26,3.67,3.77,3.56,3.68,,8,,3,,5,,,,,,,,,,,,,
De Aar,6.72,6.72,5.19,5.02,5.01,5.86,7.53,6.54,5.76,4.88,5,4.55,6.93,4.53,4.63,4.42,4.35,,4,,4,,0,,,,,,,,,,,,,
Bethlehem,4.8,6.11,4.54,4.58,4.57,5.64,6.35,5.93,5.24,4.4,4.42,4.09,6.28,4.11,4.25,4.08,4.03,,1,,-1,,2,,,,,,,,,,,,,
Mahikeng,5.23,4.96,4.53,4.64,4.62,5.59,6.96,6.08,5.36,4.57,4.66,4.18,7.67,4.2,4.26,4.12,4.19,,4,,1,,3,,,,,,,,,,,,,
Irene,8.92,9.07,8.58,8.23,8.24,8.25,8.82,8.37,8.36,8.17,8.45,8.15,10.07,8.16,8.01,8.2,8.12,,0,,0,,0,,,,,,,,,,,,,
Pretoria,4.26,5.57,4.51,3.69,3.67,4.82,6.67,5.41,4.22,3.48,3.68,3.1,6.99,3.06,3.56,3.05,3.09,,0,,0,,1,,,,,,,,,,,,,
Thohoyandou,3.25,3.73,3.58,3.09,3.08,4.22,5.15,4.45,3.47,2.87,2.96,2.55,5.53,2.57,3.06,2.45,2.79,,1,,0,,1,,,,,,,,,,,,,
