DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,
De Aar,52.36,52.36,58.75,65.16,61.22,69.02,64.33,69.53,66.92,81.32,72.64,85.13,91.48,91.65,98.29,68.79,96.39,,,,,,,,
Bethlehem,83.94,87.64,80.83,86.17,87.09,80.88,92.85,84.23,90.44,92.9,113.89,103.68,107.74,107.85,110.06,102.37,119.48,,,,,,,,
Mahikeng,66.88,74.56,76.78,85.56,80.13,82.42,90.9,80.45,88.86,84.31,105.02,92.65,92.85,92.85,94.16,98.38,99.42,,,,,,,,
Irene,78.45,78.37,78.27,83.22,94.18,80.82,80.03,83.86,89.73,85.71,105.27,84.74,92.81,92.88,93.94,93.87,102.36,,,,,,,,
Pretoria,61.02,60.22,58.97,64.13,67.78,64.12,77.9,73.15,76.99,76.21,84.9,82.84,89.22,89.42,92.94,80.18,103.94,,,,,,,,
Thohoyandou,52.79,54.46,54.57,54.52,51.89,51.23,58.05,59.69,65.9,58.56,87.34,64.94,74.23,74.37,76.93,73.49,88.97,,,,,,,,
Nelspruit,60.18,62.52,64.11,67.82,58.97,93.02,63.5,67.14,75.09,58.96,95.59,65.06,68.61,68.53,69.23,81.16,74.17,,,,,,,,
Durban,60.44,61.3,65.87,68.39,66.44,63.53,68.99,73.82,71.26,65.86,106.26,70.66,81.99,82.02,83.41,86.39,88.64,,,,,,,,
Mthatha,68.93,74.78,69.16,69.67,74.79,65.69,88.44,70.34,84.14,81.9,92.96,93.37,95.59,95.84,99.09,86.15,113.69,,,,,,,,
George,49.62,49.69,51.21,52.38,53.37,46.65,56.54,53.36,61.27,57.87,77.97,69.23,77.7,77.85,82.06,73.66,91.08,,,,,,,,
Stellenboch,50.52,54.41,55.59,58.16,53.38,59.2,73.59,58.24,63.85,73.26,74.44,83.16,89.63,89.9,94.92,75.94,106.52,,,,,,,,
Cape Point,65.96,65.49,66.97,69.48,62.15,66.26,72.15,69.11,69.89,71.71,83.96,79.02,80.6,80.61,82.78,77.77,81.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,62,64,66,70,67,70,76,70,75,77,90,84,89,89,92,83,99,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site ,,Dirindex-National
Alexandra Bay,7.54,6.99,8.46,8.49,8.23,8.96,10.9,7.86,9.22,11.52,8.86,12.78,13.22,13.27,14.22,9.62,15.42,,1,,1,,-1,,0
Upington,7.84,8.85,9.92,11.15,8.74,11.58,12.32,10.38,10.54,12.87,11.47,13.91,13.48,13.49,14.11,11.44,13.57,,2,,1,,1,,-1
De Aar,7.01,7.01,7.86,8.72,8.19,9.24,8.61,9.3,8.96,10.88,9.72,11.39,12.24,12.27,13.16,9.21,12.9,,1,,1,,0,,0
Bethlehem,14.31,14.94,13.78,14.69,14.85,13.79,15.83,14.36,15.42,15.84,19.42,17.68,18.37,18.39,18.76,17.45,20.37,,-1,,-1,,1,,1
Mahikeng,10.86,12.11,12.47,13.89,13.01,13.38,14.76,13.06,14.43,13.69,17.05,15.04,15.07,15.08,15.29,15.97,16.14,,2,,0,,1,,1
Irene,12.32,12.31,12.29,13.07,14.79,12.69,12.57,13.17,14.09,13.46,16.53,13.31,14.57,14.58,14.75,14.74,16.07,,0,,0,,0,,3
Pretoria,10.36,10.22,10.01,10.88,11.5,10.88,13.22,12.41,13.06,12.93,14.41,14.06,15.14,15.17,15.77,13.6,17.64,,0,,0,,0,,1
Thohoyandou,10.08,10.4,10.42,10.41,9.91,9.78,11.08,11.4,12.58,11.18,16.67,12.4,14.17,14.2,14.69,14.03,16.99,,0,,0,,0,,-1
Nelspruit,14.3,14.86,15.24,16.12,14.02,22.11,15.09,15.96,17.85,14.01,22.72,15.46,16.31,16.29,16.45,19.29,17.63,,1,,0,,1,,-1
Durban,12.45,12.63,13.57,14.09,13.68,13.09,14.21,15.21,14.68,13.57,21.89,14.56,16.89,16.9,17.18,17.8,18.26,,1,,1,,0,,0
Mthatha,10.92,11.85,10.96,11.04,11.85,10.41,14.01,11.14,13.33,12.97,14.73,14.79,15.14,15.18,15.7,13.65,18.01,,0,,-1,,1,,1
George,9.71,9.73,10.96,10.25,10.45,9.13,11.07,10.45,12,11.33,15.26,13.55,15.21,15.24,16.07,14.42,17.83,,1,,1,,0,,-1
Stellenboch,8.06,8.68,8.87,9.28,8.52,9.44,11.74,9.29,10.19,11.69,11.87,13.27,14.3,14.34,15.14,12.11,16.99,,1,,0,,1,,0
Cape Point,12.22,12.13,12.41,12.87,11.51,12.27,13.36,12.8,12.95,13.28,15.55,14.64,14.93,14.93,15.33,14.41,15.15,,0,,0,,0,,-1
,,,,,,,,,,,,,,,,,,,,,,,,,
,11,11,11,12,11,12,13,12,13,13,15,14,15,15,15,14,17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,
Alexandra Bay,79.79,77.42,83.7,85.69,84.23,90.39,104.38,80.42,93.47,103.62,102.09,113.05,120.47,120.78,126.08,103.31,136.64,,,,,,,,
Upington,88.96,97.84,102.61,118.29,97.38,125.82,140.98,105.41,104.69,129.1,129.61,138.27,136.23,136.37,139.08,128.05,144.61,,,,,,,,
De Aar,94.66,94.66,97.81,105.55,112.67,107.9,101.74,102.52,102.74,114.27,122.48,113.27,122.07,122.16,125.66,116.06,130.97,,,,,,,,
Bethlehem,124.32,138.89,130.13,136.41,126.97,123.79,136.85,122.83,133.62,134.47,177.74,146.04,154.45,154.46,152.72,157.65,169.09,,,,,,,,
Mahikeng,109.47,115.28,118.57,131.67,120,129.46,142.9,120.41,127.8,129.46,163.17,141.38,144.43,144.44,142.76,147.39,155.64,,,,,,,,
Irene,108.96,109.28,110.05,118.47,141.82,114.02,119.71,118.35,125,120.05,155.74,122.97,133.08,133.12,131.52,137.13,145.46,,,,,,,,
Pretoria,88.64,89.25,88.44,95.84,99.74,91.63,106.01,101.26,108.21,101.88,131.21,107.94,118.11,118.24,118.96,116.34,132.32,,,,,,,,
Thohoyandou,86.67,88.78,90.14,91.46,85.59,77.91,90.29,92.56,104.33,90.99,143.99,100.56,113.91,113.94,112.66,119.32,128.58,,,,,,,,
Nelspruit,94.01,96.57,98.64,106.23,93.1,129.97,102.9,100.43,110.92,97.54,148.39,107.66,112.65,112.58,110.43,123.18,119.92,,,,,,,,
Durban,90.4,93.76,100.92,104.14,98.58,90.97,98.4,106.51,111.04,98.41,159.08,107.07,120.78,120.75,119.14,128.08,126.5,,,,,,,,
Mthatha,103.76,106.06,103.83,105.37,107.01,92.39,114.71,102.23,122.4,108.49,147.91,121.02,127.97,128.08,128.15,130.12,145.22,,,,,,,,
