DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,
Mahikeng,34.331,37.951,37.197,39.536,45.419,37.64,40.849,43.923,51.255,45.446,46.644,49.436,47.859,47.944,51.101,39.671,53.124,,,,,,
Irene,44.448,44.105,43.454,46.063,44.553,41.74,40.426,48.735,53.297,49.1,61.312,49.898,51.736,51.787,52.951,50.055,58.498,,,,,,
Pretoria,35.639,35.768,34.924,36.849,38.343,32.897,38.373,44.102,49.014,41.276,54.465,45.975,47.329,47.413,49.199,44.519,55.859,,,,,,
Thohoyandou,33.697,34.547,33.634,33.458,33.015,29.516,32.143,35.449,42.459,37.117,55.588,41.219,44.317,44.399,45.972,43.31,53.943,,,,,,
Nelspruit,31.894,32.6,31.712,32.694,40.491,40.919,33.032,34.801,42.092,35.898,49.91,39.395,40.884,40.957,43.366,39.778,49.428,,,,,,
Durban,38.953,36.007,33.469,33.732,43.561,29.022,36.328,33.545,42.03,38.456,54.328,42.751,46.377,46.475,48.867,43.608,54.581,,,,,,
Mthatha,43.455,48.72,43.673,43.306,48.36,38.967,51.993,44.47,54.596,51.234,56.608,58.028,56.915,57.064,58.998,50.158,68.448,,,,,,
George,29.899,29.497,30.432,30.348,32.284,26.526,31.459,29.573,35.74,36.223,44.132,41.999,44.496,44.589,47.352,38.942,51.954,,,,,,
Stellenboch,26.302,31.671,33.026,33.042,29.405,30.999,37.365,31.346,38.877,42.428,40.257,48.107,48.181,48.339,51.333,37.935,57.582,,,,,,
Cape Point,37.27,34.861,35.929,36.95,34.25,34.36,35.95,39.29,39.13,39.38,48.13,43.97,46.09,46.09,48,42.5,45.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,35,36,37,38,38,36,39,40,45,44,50,49,49,50,52,43,56,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site
Alexandra Bay,25.45,24.6,31.983,30.15,32.01,28.01,35.93,29.87,38.38,41.86,31.88,50.02,47.78,47.98,52.18,30.72,56.06,,7,,7,,-1
Upington,31.039,34.29,41.614,45.223,33.921,45.91,45.881,46.192,48.653,55.952,43.497,59.618,56.764,56.865,61.39,39.327,56.086,,11,,7,,3
De Aar,28.41,28.414,33.59,36.54,30.08,36.93,35.61,44.28,43.12,46.19,43.23,51.4,52.74,52.8,56.75,37.8,52,,5,,5,,0
Bethlehem,32.134,31.949,30.263,31.909,33.349,28.591,31.868,32.955,35.586,34.329,42.904,38.171,38.915,38.947,39.941,36.239,43.452,,-2,,-2,,0
Mahikeng,26.305,29.079,28.501,30.294,34.801,28.84,31.3,33.655,39.273,34.822,35.74,37.879,36.671,36.736,39.155,30.397,40.705,,2,,-1,,3
Irene,29.893,29.662,29.224,30.978,29.963,28.071,27.187,32.776,35.844,33.021,41.234,33.558,34.794,34.829,35.611,33.664,39.342,,-1,,0,,0
Pretoria,24.07,24.157,23.587,24.887,25.896,22.218,25.916,29.785,33.103,27.877,36.784,31.051,31.965,32.021,33.228,30.067,37.725,,0,,-1,,0
Thohoyandou,22.176,22.736,22.135,22.019,21.728,19.425,21.154,23.33,27.943,24.427,36.583,27.127,29.166,29.22,30.255,28.503,35.5,,0,,-1,,1
Nelspruit,20.355,20.81,20.239,20.866,25.842,26.115,21.082,22.21,26.864,22.911,31.853,25.142,26.093,26.14,27.677,25.387,31.546,,0,,-1,,0
Durban,25.666,23.725,22.053,22.226,28.703,19.123,23.937,22.103,27.694,25.339,35.797,28.169,30.558,30.623,32.199,28.733,35.964,,-4,,-2,,-2
Mthata,31.963,35.836,32.123,31.853,35.571,28.662,38.243,32.71,40.158,37.685,41.638,42.682,41.864,41.973,43.396,36.893,50.347,,0,,-4,,4
George,21.935,21.64,22.326,22.264,23.684,19.46,23.079,21.696,26.22,26.574,32.377,30.812,32.644,32.712,34.74,28.57,38.115,,0,,1,,0
Stellenboch,22.432,27.012,28.167,28.181,25.079,26.438,31.868,26.735,33.158,36.187,34.334,41.03,41.093,41.228,43.781,32.354,49.111,,6,,1,,5
Cape Point,26.18,24.484,25.235,25.95,24.06,24.13,25.25,27.6,27.48,27.66,33.8,30.88,32.37,32.37,33.71,29.85,31.64,,-1,,1,,-2
,,,,,,,,,,,,,,,,,,,,,,,
,26,27,28,29,29,27,30,30,35,34,37,38,38,38,40,32,43,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,
Alexandra Bay,42.58,43.58,48.944,47.03,49.09,39.22,46.72,47.03,59.68,54.8,61.91,64.34,62.21,62.36,65.91,52.83,70.28,,,,,,
Upington,49.653,50.96,56.306,60.137,52.454,56.761,59.403,62.144,65.939,68.084,69.764,72.072,70.54,70.591,74.666,62.179,71.093,,,,,,
De Aar,57.67,57.674,60.592,63.8,60.9,57.24,57.34,72.73,71.64,68.82,80.18,74.49,76.91,76.92,80.07,72.14,77.1,,,,,,
Bethlehem,82.35,92.158,86.03,91.128,86.081,78.002,81.57,83.512,89.58,88.206,123.444,94.723,98.459,98.427,96.941,103.147,109.318,,,,,,
Mahikeng,57.764,58.646,57.993,61.5,65.392,54.145,59.644,65.375,78.209,64.778,87.362,69.442,69.667,69.694,71.282,68.836,77.041,,,,,,
Irene,68.359,68.51,67.948,72.526,69.815,59.164,59.595,75.381,81.987,72.928,107.4,75.398,79.283,79.253,78.361,85.543,88.843,,,,,,
Pretoria,59.928,60.648,60.18,64.546,64.171,51.671,57.636,70.827,77.375,64.515,98.604,69.405,72.322,72.319,71.891,77.275,81.996,,,,,,
Thohoyandou,60.111,61.281,60.922,62.978,58.564,48.412,52.504,61.339,72.582,63.211,106.328,69.379,75.213,75.196,74.374,81.687,86.547,,,,,,
Nelspruit,57.951,57.93,57.792,60.76,63.597,71.1,54.595,60.024,71.034,61.448,101.503,66.701,70.608,70.603,70.567,75.657,79.057,,,,,,
Durban,60.527,59.563,60.229,62.205,62.33,47.866,53.594,59.721,71.351,61.772,106.8,68.175,73.842,73.84,74.031,78.501,80.448,,,,,,
Mthatha,68.064,72.231,68.309,69.046,73.028,54.781,68.329,69.655,85.468,71.831,102.574,79.584,80.729,80.789,80.694,83.837,93.468,,,,,,
George,52.564,53.162,54.234,55.911,53.928,43.647,48.803,52.81,61.636,57.976,89.794,65.135,69.419,69.444,70.335,71.436,77.299,,,,,,
Stellenboch,48.026,50.17,52.325,53.184,48.98,44.857,51.32,50.903,62.179,58.732,74.606,65.482,65.67,65.778,67.496,62.481,76.405,,,,,,
Cape Point,61.46,61.112,62.532,65.59,63.08,58.48,60.87,65.4,66.64,65.1,94.35,69.65,75.57,75.51,75.99,79.47,76.38,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,59,61,61,64,62,55,58,64,73,66,93,72,74,74,75,75,82,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site
Alexandra Bay,41.96,42.94,48.229,46.34,48.37,38.64,46.04,46.34,58.8,54,61,63.4,61.3,61.45,64.95,52.06,69.25,,6,,5,,1
Upington,51.239,52.59,58.103,62.057,54.128,58.573,61.3,64.128,68.044,70.258,71.992,74.373,72.792,72.845,77.05,64.164,73.363,,7,,6,,1
De Aar,55.16,55.159,57.949,61.01,58.24,54.74,54.84,69.56,68.51,65.82,76.68,71.24,73.56,73.57,76.58,68.99,73.73,,3,,3,,0
Bethlehem,53.478,59.848,55.868,59.179,55.902,50.655,52.972,54.233,58.174,57.282,80.166,61.514,63.94,63.919,62.954,66.984,70.992,,2,,-4,,6
Mahikeng,44.26,44.936,44.436,47.122,50.104,41.487,45.701,50.092,59.926,49.634,66.939,53.208,53.38,53.401,54.618,52.743,59.031,,0,,-1,,1
Irene,45.973,46.075,45.697,48.776,46.953,39.789,40.08,50.696,55.139,49.046,72.23,50.707,53.32,53.3,52.7,57.53,59.75,,0,,0,,0
Pretoria,40.474,40.96,40.644,43.593,43.34,34.897,38.926,47.835,52.257,43.572,66.595,46.874,48.844,48.842,48.553,52.19,55.378,,0,,0,,0
Thohoyandou,39.56,40.33,40.093,41.447,38.542,31.861,34.554,40.368,47.767,41.6,69.976,45.659,49.499,49.488,48.947,53.759,56.958,,1,,0,,1
Nelspruit,36.985,36.97,36.884,38.778,40.589,45.377,34.843,38.308,45.335,39.217,64.781,42.57,45.063,45.06,45.037,48.285,50.456,,0,,0,,0
Durban,39.882,39.246,39.685,40.988,41.07,31.539,35.314,39.351,47.014,40.702,70.372,44.921,48.655,48.654,48.779,51.725,53.008,,0,,0,,-1
Mthatha,50.064,53.129,50.244,50.787,53.715,40.294,50.259,51.235,62.866,52.835,75.448,58.538,59.38,59.424,59.354,61.666,68.75,,0,,-3,,3
George,38.563,39.002,39.788,41.019,39.564,32.021,35.804,38.744,45.218,42.533,65.877,47.786,50.929,50.947,51.6,52.408,56.709,,1,,1,,0
Stellenboch,40.961,42.79,44.627,45.36,41.775,38.258,43.77,43.415,53.032,50.092,63.631,55.848,56.009,56.102,57.567,53.289,65.165,,4,,2,,2
Cape Point,43.17,42.921,43.919,46.06,44.31,41.08,42.75,45.94,46.8,45.72,66.26,48.92,53.08,53.04,53.37,55.81,53.65,,1,,1,,0
,,,,,,,,,,,,,,,,,,,,,,,
,44,45,46,48,47,41,44,49,55,50,69,55,56,56,57,57,62,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,National-Site,,National-Climate,,Climate-Site
Alexandra Bay,0.72,0.71,0.636,0.66,0.63,0.77,0.67,0.66,0.46,0.54,0.42,0.37,0.41,0.41,0.34,0.58,0.25,,0.08,,0.07,,0.01
Upington,0.7,0.68,0.614,0.559,0.665,0.608,0.57,0.53,0.47,0.435,0.407,0.367,0.394,0.393,0.321,0.529,0.384,,0.09,,0.07,,0.02
De Aar,0.7,0.7,0.669,0.63,0.66,0.7,0.7,0.52,0.54,0.57,0.42,0.5,0.47,0.47,0.42,0.53,0.46,,0.03,,0.03,,0.00
Bethlehem,0.658,0.572,0.627,0.581,0.626,0.693,0.664,0.648,0.595,0.608,0.231,0.547,0.511,0.511,0.526,0.463,0.397,,0.03,,-0.06,,0.09
Mahikeng,0.74,0.732,0.738,0.705,0.667,0.771,0.723,0.667,0.523,0.673,0.405,0.624,0.622,0.621,0.604,0.631,0.537,,0.00,,-0.01,,0.01
Irene,0.68,0.678,0.684,0.64,0.666,0.76,0.757,0.611,0.54,0.636,0.21,0.611,0.569,0.57,0.579,0.499,0.459,,0.00,,-0.01,,0.00
Pretoria,0.748,0.741,0.745,0.707,0.71,0.812,0.766,0.647,0.579,0.707,0.316,0.661,0.632,0.632,0.637,0.58,0.527,,0.00,,0.00,,0.01
Thohoyandou,0.767,0.758,0.761,0.744,0.779,0.849,0.822,0.757,0.66,0.742,0.271,0.69,0.635,0.635,0.643,0.57,0.517,,0.01,,0.00,,0.01
Nelspruit,0.8,0.8,0.801,0.78,0.759,0.699,0.823,0.786,0.7,0.775,0.387,0.735,0.703,0.703,0.704,0.659,0.628,,0.00,,0.00,,0.00
Durban,0.76,0.768,0.762,0.747,0.746,0.85,0.812,0.766,0.667,0.75,0.253,0.696,0.643,0.643,0.641,0.596,0.576,,0.00,,0.01,,-0.01
Mthatha,0.694,0.656,0.692,0.685,0.648,0.802,0.692,0.68,0.518,0.659,0.305,0.582,0.57,0.569,0.57,0.536,0.423,,0.00,,-0.04,,0.04
George,0.805,0.8,0.792,0.779,0.795,0.865,0.832,0.803,0.732,0.763,0.431,0.7,0.66,0.659,0.651,0.64,0.578,,0.01,,0.01,,0.01
Stellenboch,0.758,0.736,0.713,0.704,0.749,0.789,0.724,0.729,0.595,0.639,0.417,0.551,0.548,0.547,0.523,0.591,0.388,,0.05,,0.02,,0.02
Cape Point,0.74,0.739,0.726,0.7,0.72,0.76,0.74,0.7,0.69,0.7,0.38,0.66,0.6,0.6,0.6,0.56,0.59,,0.01,,0.01,,0.00
,,,,,,,,,,,,,,,,,,,,,,,
,0.734,0.719,0.711,0.687,0.701,0.766,0.735,0.679,0.591,0.657,0.347,0.592,0.569,0.569,0.554,0.569,0.48,,,,,,
