KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
Pretoria,16.93,13.99,11.48,32.98,33.35,41.29,6.17,47.98,32.08,27.52,18.79,33.81,-5.99,38.9,11.39,15.63,28.26,,,,,,,,,,,,,,,,,,
Thohoyandou,10.62,10.37,3.99,20.32,20.67,27.48,-3.63,33.72,8.91,-7.07,15.9,23.69,-15.96,25.46,3.36,7.04,14.76,,,,,,,,,,,,,,,,,,
Nelspruit,23.16,23.22,17.64,36.69,37.09,44.64,10.12,53.59,25.7,19.27,55.82,40.97,-2.26,43.52,16.92,22.45,34,,,,,,,,,,,,,,,,,,
Durban,32.02,21.31,9.99,31.34,31.72,40.64,9.83,50.78,13.59,-6.31,45.15,29.67,-13.61,33.28,7.67,10.54,27.28,,,,,,,,,,,,,,,,,,
Mthatha,31.63,43.38,31.65,60.09,60.57,69.75,31.05,82.16,35.22,28.48,40.41,59.18,16.61,68.6,31.01,36.53,59.91,,,,,,,,,,,,,,,,,,
George,26.08,22.21,20.56,47.74,48.15,56.49,17.36,63.85,17.96,13.7,32.06,47.43,7.45,53.37,21.13,27.3,37.86,,,,,,,,,,,,,,,,,,
Stellenboch,14.08,33.03,33.63,62.57,63.04,72.2,28.96,81.08,34.03,15.87,24.67,60.5,16.47,68.88,32.88,35.53,48.65,,,,,,,,,,,,,,,,,,
Cape Point,22.31,5.98,-1.78,25.73,25.91,34.23,-6.3,17.22,22.94,37.74,16.34,26.41,-0.79,30.74,4.21,16.62,13.79,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.04,0.03,0.04,0.08,0.08,0.09,0.04,0.1,0.05,0.04,0.04,0.07,0.03,0.08,0.04,0.04,0.06,,,,,,,,,,,,,,,,,,
Upington,0.04,0.04,0.06,0.08,0.08,0.09,0.04,0.08,0.07,0.07,0.05,0.09,0.04,0.09,0.07,0.08,0.06,,,,,,,,,,,,,,,,,,
De Aar,0.03,0.03,0.05,0.09,0.09,0.1,0.05,0.09,0.06,0.07,0.03,0.08,0.05,0.09,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,
Bethlehem,0.06,0.05,0.05,0.08,0.08,0.09,0.05,0.09,0.07,0.06,0.07,0.08,0.06,0.09,0.05,0.06,0.07,,,,,,,,,,,,,,,,,,
Mahikeng,0.05,0.05,0.05,0.07,0.07,0.08,0.04,0.08,0.07,0.06,0.07,0.08,0.04,0.08,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,
Irene,0.06,0.05,0.05,0.06,0.06,0.06,0.04,0.07,0.06,0.06,0.04,0.07,0.04,0.06,0.06,0.06,0.04,,,,,,,,,,,,,,,,,,
Pretoria,0.04,0.04,0.04,0.06,0.06,0.07,0.04,0.08,0.07,0.06,0.04,0.06,0.04,0.07,0.04,0.04,0.05,,,,,,,,,,,,,,,,,,
Thohoyandou,0.04,0.04,0.04,0.05,0.05,0.06,0.03,0.07,0.05,0.04,0.04,0.05,0.04,0.06,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,
Nelspruit,0.05,0.05,0.04,0.06,0.06,0.07,0.03,0.09,0.06,0.05,0.08,0.06,0.03,0.07,0.04,0.05,0.06,,,,,,,,,,,,,,,,,,
Durban,0.06,0.05,0.04,0.07,0.07,0.08,0.04,0.1,0.05,0.03,0.08,0.06,0.03,0.07,0.03,0.03,0.05,,,,,,,,,,,,,,,,,,
Mthatha,0.05,0.06,0.05,0.09,0.09,0.1,0.05,0.12,0.06,0.05,0.06,0.08,0.04,0.1,0.05,0.05,0.08,,,,,,,,,,,,,,,,,,
