DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Nelspruit,507.25,494.77,609.16,584.56,578.82,1133.15,1393.9,1227.22,739.13,365.81,353.91,173.48,1243.33,199.78,507.7,138.77,238.78,,,,,,,,,,,,,,,,,,
Durban,98.5,145.44,262.8,146.15,144.21,324.26,431.02,364.45,145.51,42.01,44.69,42.85,255.91,44.77,193.89,20.2,49.8,,,,,,,,,,,,,,,,,,
Mthata,33.06,8.28,51.9,-4.37,-5.15,26.65,86,59.36,36.49,-13.7,-2.83,-36.53,36.52,-37.14,8.95,-46.3,-42.9,,,,,,,,,,,,,,,,,,
George,348.72,499.82,557.25,447.33,442.73,883.62,1090.02,959.21,489.77,211.61,211.08,149.98,677.54,163.29,441.53,114.48,188.71,,,,,,,,,,,,,,,,,,
Stellenboch,294.23,293.95,340.76,219.28,216.6,439.79,578.05,499.25,249.14,95.37,102.68,69.06,306.92,72.4,242.38,53.47,80.9,,,,,,,,,,,,,,,,,,
Cape Point,-10.26,-49.34,-43.96,-41.91,-42.39,2.19,25.06,11.11,-35.37,-64.16,-61.71,-80.85,-46.28,-79.34,-55.02,-82.58,-73.76,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,7.12,12.21,13.3,10.42,10.34,16.76,20.96,18.7,11.93,6.62,6.96,5.91,13.03,6.1,10.64,5.31,6.1,,,,,,,,,,,,,,,,,,
Upington,11.19,7.53,8.64,8.77,8.7,14.3,17.77,15.82,9.86,6.42,6.73,4.42,12.99,4.53,7.31,4.28,5.44,,,,,,,,,,,,,,,,,,
De Aar,19.67,19.67,11.39,10.39,10.31,16.65,21.36,18.91,12.5,7.41,8.07,5.28,15.45,5.4,9.09,4.93,5.69,,,,,,,,,,,,,,,,,,
Bethlehem,7.48,12.88,5.96,6.24,6.18,11.34,13.89,12.25,7.96,4.09,4.18,2.54,9.78,2.71,5.11,2.42,3.22,,,,,,,,,,,,,,,,,,
Mahikeng,9.13,9.63,7.43,7.86,7.8,13.43,16.88,14.91,9.94,5.76,5.87,3.19,15.03,3.4,6.2,2.78,3.88,,,,,,,,,,,,,,,,,,
Irene,11.71,12.03,10,8.52,8.5,10.06,12.42,11.05,8.88,7.8,8.63,7.73,13.58,7.73,8.68,7.79,7.96,,,,,,,,,,,,,,,,,,
Pretoria,10.16,12.96,10.03,7.89,7.83,12.52,16.22,14.21,8.74,5.59,5.95,4.71,14.26,4.66,7.75,4.36,4.96,,,,,,,,,,,,,,,,,,
Thohoyandou,5.1,5.85,6.19,4.93,4.89,8.9,10.62,9.38,5.43,3.66,3.64,2.76,8.85,2.8,5.23,2.46,3.2,,,,,,,,,,,,,,,,,,
Nelspruit,5.46,5.36,6.43,6.33,6.28,11.59,14.03,12.44,7.97,4.48,4.39,2.55,12.73,2.8,5.58,2.24,3.16,,,,,,,,,,,,,,,,,,
Durban,3.4,4.11,6.08,4.3,4.27,7.59,9.4,8.17,4.18,2.72,2.79,2.64,6.22,2.63,5.06,2.44,2.99,,,,,,,,,,,,,,,,,,
Mthatha,8.95,7.74,9.94,7.3,7.27,8.53,12.02,10.23,9.58,7.53,8.14,7.23,10.46,6.87,8.05,7.24,7.23,,,,,,,,,,,,,,,,,,
George,5.03,6.81,7.51,6.3,6.25,11.78,14.3,12.66,6.88,3.6,3.58,2.83,9.18,2.97,6.2,2.45,3.32,,,,,,,,,,,,,,,,,,
