DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Irene,-1.84,-1.26,-0.7,-2.92,-2.97,-4.34,2.31,-4.6,-2.38,-1.88,1.14,-5.08,3.73,-4.13,-1.14,-2.09,-1.45,,,,,,,,,,,,,,,,,,
Pretoria,-4.33,-3.85,-3.38,-7.02,-7.08,-8.44,-2.22,-9.51,-7.08,-6.21,-4.51,-7.25,-0.23,-8.1,-3.35,-4.07,-6.1,,,,,,,,,,,,,,,,,,
Thohoyandou,-1.1,-1.08,0.23,-2.81,-2.87,-4.2,2.02,-5.33,-0.76,2.5,-2.03,-3.65,4.39,-3.9,0.38,-0.34,-1.69,,,,,,,,,,,,,,,,,,
Nelspruit,4.11,4.11,5.2,1.8,1.73,0.35,6.84,-1.25,3.66,4.95,-1.77,0.86,9.06,0.46,5.35,4.33,2.35,,,,,,,,,,,,,,,,,,
Durban,-1.66,0.62,3.04,-1.25,-1.33,-3.16,3.37,-5.29,2.23,6.62,-4.37,-1.05,8.18,-1.76,3.57,2.99,-0.38,,,,,,,,,,,,,,,,,,
Mthata,-2.56,-4.39,-2.6,-6.78,-6.85,-8.2,-2.32,-10.03,-3.28,-2.15,-3.99,-6.71,-0.21,-8.13,-2.47,-3.27,-6.7,,,,,,,,,,,,,,,,,,
George,-1.21,-0.6,-0.38,-4.47,-4.53,-5.82,0.38,-6.87,-0.05,0.72,-2.19,-4.54,1.86,-5.43,-0.43,-1.35,-2.87,,,,,,,,,,,,,,,,,,
Stellenboch,-0.79,-3.48,-3.61,-7.46,-7.53,-8.77,-2.75,-9.93,-3.76,-1.08,-2.3,-7.26,-1.09,-8.41,-3.48,-3.79,-5.47,,,,,,,,,,,,,,,,,,
Cape Point,-3.75,-1.01,0.21,-4.37,-4.4,-5.77,1.02,-2.69,-3.91,-6.28,-2.8,-4.43,0.12,-5.13,-0.79,-2.74,-2.07,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,49.65,43.5,60.21,92.68,93.19,103.39,53.16,111.88,66.23,52.82,57.28,86.05,47.77,101.63,57.78,57.48,74.4,,,,,,,,,,,,,,,,,,
Upington,35.86,42.06,55.59,83.11,83.24,91.87,56.6,74.74,64.13,65.52,40.74,82.7,53.68,87.7,61.27,66.79,61.22,,,,,,,,,,,,,,,,,,
De Aar,31.1,31.1,43.16,83.08,83.35,94.84,39.3,79.56,58.92,65.51,32.24,75.44,44.85,84.95,49.16,56.85,48.84,,,,,,,,,,,,,,,,,,
Bethlehem,65.69,53.47,52.44,88.1,88.4,96.28,62.59,99.84,70.41,66.79,72.03,76.8,65.64,92.64,55.92,58.56,70.53,,,,,,,,,,,,,,,,,,
Mahikeng,44.48,50.1,50.9,58.62,58.66,62.73,62.3,59.94,65.46,57.1,55.28,59.45,59.62,62.33,55.61,55.49,55.18,,,,,,,,,,,,,,,,,,
Irene,57.27,55.29,54.51,50.31,50.44,57.23,48.06,56.72,67.33,58.89,50.32,63.71,52.1,53.33,57.61,59.05,44.78,,,,,,,,,,,,,,,,,,
Pretoria,49.51,47.23,44.34,71.7,72.15,81.92,43.9,92.58,76.49,66.26,51.39,69.16,43.2,78.83,45.96,46.74,59.13,,,,,,,,,,,,,,,,,,
Thohoyandou,38.84,41.01,38.39,45.15,45.53,52.66,35.17,66.13,52.48,46.55,35.39,44.06,45.11,49.68,37.72,37.11,33.62,,,,,,,,,,,,,,,,,,
Nelspruit,55.8,57.52,59.08,48.86,48.75,48.76,66.65,51.2,72.2,65.93,48.2,47.48,75.52,49.5,60.8,57.24,55.46,,,,,,,,,,,,,,,,,,
Durban,49.78,46.7,47.72,53.81,54,60.64,53.48,71.41,55.73,65,58.57,47.89,69.7,52.69,50.09,48.58,48.88,,,,,,,,,,,,,,,,,,
Mthatha,39.51,50.92,40.88,70.44,70.98,80.78,42.54,98.15,56.24,42.74,50.06,63.81,36.85,80.01,38.2,38.15,64.88,,,,,,,,,,,,,,,,,,
George,30.81,28.02,29.69,63.46,63.91,72.63,38.17,84.07,40.69,38.53,39.49,49.44,36.19,67.56,31.2,30.2,42.47,,,,,,,,,,,,,,,,,,
Stellenboch,30.63,41.88,43.97,75.19,75.72,85.83,42.46,97.6,51.79,46.57,40.21,69.49,36.1,81.95,44.03,44.04,56.27,,,,,,,,,,,,,,,,,,
Cape Point,53.86,46.9,48.24,66.42,66.51,75.09,46.14,57.49,57.66,72.34,49.14,61.76,41.26,70.02,50.92,53.66,54.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,45,48,68,68,76,49,79,61,58,49,64,51,72,50,51,55,,,,,,,,,,,,,,,,,,
